sample,reading_set,simulated_nodes,real_nodes,exec_time
3,68,21,16,0.05335090000880882
3,69,32,5,0.051382099991315044
3,70,27,10,0.049982500000623986
3,71,32,5,0.05207959999097511
3,72,21,16,0.053009399998700246
3,73,32,5,0.05201880000822712
3,74,31,6,0.05095129999972414
3,75,31,6,0.05219360000046436
3,76,34,3,0.050139600003603846
3,77,28,9,0.05099139999947511
3,78,33,4,0.053536999999778345
3,79,24,13,0.05266670000855811
3,80,28,9,0.052993399993283674
3,81,28,9,0.05469989999255631
3,82,36,1,0.055450700005167164
3,83,35,2,0.05031500000040978
3,84,23,14,0.053484499992919154
3,85,28,9,0.050471700000343844
3,86,27,10,0.05157630000030622
3,87,26,11,0.056544699997175485
3,88,31,6,0.05352790000324603
3,89,33,4,0.0521840000001248
3,90,33,4,0.051076000003376976
3,91,29,8,0.0515365000028396
3,92,27,10,0.053626599998096935
3,93,27,10,0.05085539999708999
3,94,25,12,0.05149899999378249
3,95,22,15,0.051852999997208826
3,96,25,12,0.053434099987498485
3,97,35,2,0.052227100008167326
3,98,35,2,0.050674600002821535
3,99,21,16,0.0504135000082897
4,0,36,1,0.053621700004441664
4,1,23,14,0.05484270000306424
4,2,30,7,0.05340970000543166
4,3,22,15,0.05480010001338087
4,4,22,15,0.054985500013572164
4,5,31,6,0.053536100007477216
4,6,30,7,0.0510945999994874
4,7,29,8,0.05204300000332296
4,8,32,5,0.04971520000253804
4,9,35,2,0.05478349998884369
4,10,35,2,0.051148000013199635
4,11,30,7,0.05246229999465868
4,12,24,13,0.05185100001108367
4,13,29,8,0.05096900000353344
4,14,27,10,0.049085599996033125
4,15,36,1,0.050207699998281896
4,16,23,14,0.04978480000863783
4,17,36,1,0.04968880000524223
4,18,27,10,0.048496600007638335
4,19,22,15,0.05254219999187626
4,20,34,3,0.057258100001490675
4,21,28,9,0.050122000000556
4,22,23,14,0.051204200004576705
4,23,35,2,0.051208500008215196
4,24,27,10,0.050807999999960884
4,25,30,7,0.052817099989624694
4,26,26,11,0.052392700003110804
4,27,24,13,0.050865500001236796
4,28,22,15,0.05203720000281464
4,29,26,11,0.051853199998731725
4,30,28,9,0.056283300000359304
4,31,28,9,0.05252709999331273
4,32,35,2,0.051777500004391186
4,33,23,14,0.05259059999661986
4,34,31,6,0.05138930000248365
4,35,29,8,0.05188510000880342
4,36,22,15,0.05213200001162477
4,37,31,6,0.05083300000114832
4,38,29,8,0.04951460000302177
4,39,25,12,0.057185600002412684
4,40,30,7,0.05124059999070596
4,41,23,14,0.05014110000047367
4,42,36,1,0.05413119999866467
4,43,33,4,0.05615459999535233
4,44,26,11,0.05391030000464525
4,45,21,16,0.053221300011500716
4,46,21,16,0.055351200004224665
4,47,24,13,0.05052780000551138
4,48,35,2,0.05103919999965001
4,49,29,8,0.051291100011439994
4,50,27,10,0.053935400006594136
4,51,23,14,0.05492549999326002
4,52,25,12,0.053650200003175996
4,53,27,10,0.05324079999991227
4,54,30,7,0.05055420000280719
4,55,26,11,0.05235549999633804
4,56,32,5,0.050275999994482845
4,57,34,3,0.04940509999869391
4,58,34,3,0.05536500000744127
4,59,33,4,0.052487299995846115
4,60,29,8,0.05104459999711253
4,61,34,3,0.05085420000250451
4,62,25,12,0.05146019998937845
4,63,34,3,0.05050650000339374
4,64,21,16,0.051245800001197495
4,65,29,8,0.05158879999362398
4,66,23,14,0.050417700011166744
4,67,35,2,0.05418659999850206
4,68,25,12,0.05200029999832623
4,69,36,1,0.05016569999861531
4,70,26,11,0.049830799995106645
4,71,36,1,0.05309230000420939
4,72,31,6,0.05483259999891743
4,73,22,15,0.052721300002303906
4,74,24,13,0.05144060000020545
4,75,24,13,0.049861699997563846
4,76,22,15,0.05090240000572521
4,77,25,12,0.05501619999995455
4,78,29,8,0.05126829999790061
4,79,25,12,0.049377300005289726
4,80,27,10,0.050152199997683056
4,81,24,13,0.05080670000461396
4,82,24,13,0.05208770000899676
4,83,24,13,0.05237229999329429
4,84,34,3,0.05515469999227207
4,85,23,14,0.05433469999115914
4,86,23,14,0.053956299991114065
4,87,27,10,0.053198399997199886
4,88,34,3,0.05393460000050254
4,89,26,11,0.05039000000397209
4,90,21,16,0.051955299990368076
